AdvantEdge -  TechEdge © 2026 - Polsat Media
Analysis:,Time
Time:,"26 August 2026, 11:54:31"
Period:,2024-01-01 - 2026-08-24,[24-27]
Targets:,"Poland OOH	Nat[Live +2 OOH]	A16-59	58,443%	-	19695053	4619"
------------------------------------

,,,Units,Target,Universe
,,,TRP (avgW),ATV,Share
,,,A16-59,A16-59,A16-59
Channel,Date,Time,Nat[Live +2 OOH],Nat[Live +2 OOH],Nat[Live +2 OOH]
TV PULS,2024-01-01,02:00:00,"0,580","0,087","3,908"
TV PULS,2024-01-01,02:15:00,"0,483","0,073","3,734"
TV PULS,2024-01-01,02:30:00,"0,358","0,054","3,123"
TV PULS,2024-01-01,02:45:00,"0,210","0,032","2,091"
TV PULS,2024-01-01,03:00:00,"0,222","0,033","2,441"
TV PULS,2024-01-01,03:15:00,"0,220","0,033","2,819"
TV PULS,2024-01-01,03:30:00,"0,193","0,029","2,586"
TV PULS,2024-01-01,03:45:00,"0,192","0,029","2,959"
TV PULS,2024-01-01,04:00:00,"0,214","0,032","3,679"
TV PULS,2024-01-01,04:15:00,"0,161","0,024","3,221"
TV PULS,2024-01-01,04:30:00,"0,139","0,021","3,164"
TV PULS,2024-01-01,04:45:00,"0,125","0,019","3,259"
TV PULS,2024-01-01,05:00:00,"0,138","0,021","3,652"
TV PULS,2024-01-01,05:15:00,"0,059","0,009","1,663"
TV PULS,2024-01-01,05:30:00,"0,056","0,008","1,698"
TV PULS,2024-01-01,05:45:00,"0,060","0,009","1,940"
TV PULS,2024-01-01,06:00:00,"0,069","0,010","2,254"
TV PULS,2024-01-01,06:15:00,"0,063","0,009","2,238"
TV PULS,2024-01-01,06:30:00,"0,056","0,008","2,064"
TV PULS,2024-01-01,06:45:00,"0,061","0,009","2,085"
TV PULS,2024-01-01,07:00:00,"0,071","0,011","2,161"
TV PULS,2024-01-01,07:15:00,"0,045","0,007","1,287"
TV PULS,2024-01-01,07:30:00,"0,137","0,021","3,617"
TV PULS,2024-01-01,07:45:00,"0,171","0,026","3,839"
TV PULS,2024-01-01,08:00:00,"0,176","0,026","3,561"
TV PULS,2024-01-01,08:15:00,"0,233","0,035","4,042"
TV PULS,2024-01-01,08:30:00,"0,232","0,035","3,542"
TV PULS,2024-01-01,08:45:00,"0,351","0,053","4,558"
TV PULS,2024-01-01,09:00:00,"0,283","0,042","3,017"
TV PULS,2024-01-01,09:15:00,"0,409","0,061","3,719"
TV PULS,2024-01-01,09:30:00,"0,591","0,089","4,631"
TV PULS,2024-01-01,09:45:00,"0,459","0,069","3,211"
TV PULS,2024-01-01,10:00:00,"0,649","0,097","3,931"
TV PULS,2024-01-01,10:15:00,"0,745","0,112","4,096"
TV PULS,2024-01-01,10:30:00,"0,893","0,134","4,510"
TV PULS,2024-01-01,10:45:00,"0,938","0,141","4,525"
TV PULS,2024-01-01,11:00:00,"0,663","0,099","3,002"
TV PULS,2024-01-01,11:15:00,"0,746","0,112","3,156"
TV PULS,2024-01-01,11:30:00,"0,843","0,126","3,328"
TV PULS,2024-01-01,11:45:00,"0,999","0,150","3,899"
TV PULS,2024-01-01,12:00:00,"1,122","0,168","4,340"
TV PULS,2024-01-01,12:15:00,"0,777","0,117","2,897"
TV PULS,2024-01-01,12:30:00,"0,982","0,147","3,520"
TV PULS,2024-01-01,12:45:00,"1,102","0,165","3,855"
TV PULS,2024-01-01,13:00:00,"1,253","0,188","4,342"
TV PULS,2024-01-01,13:15:00,"1,199","0,180","4,073"
TV PULS,2024-01-01,13:30:00,"1,258","0,189","4,211"
TV PULS,2024-01-01,13:45:00,"1,128","0,169","3,681"
TV PULS,2024-01-01,14:00:00,"1,089","0,163","3,522"
TV PULS,2024-01-01,14:15:00,"0,744","0,112","2,414"
TV PULS,2024-01-01,14:30:00,"0,931","0,140","2,950"
TV PULS,2024-01-01,14:45:00,"1,191","0,179","3,692"
TV PULS,2024-01-01,15:00:00,"1,181","0,177","3,681"
TV PULS,2024-01-01,15:15:00,"1,074","0,161","3,322"
TV PULS,2024-01-01,15:30:00,"1,359","0,204","4,150"
TV PULS,2024-01-01,15:45:00,"1,276","0,191","3,909"
TV PULS,2024-01-01,16:00:00,"0,840","0,126","2,558"
TV PULS,2024-01-01,16:15:00,"0,729","0,109","2,195"
TV PULS,2024-01-01,16:30:00,"0,923","0,138","2,793"
TV PULS,2024-01-01,16:45:00,"1,467","0,220","4,410"
TV PULS,2024-01-01,17:00:00,"1,145","0,172","3,415"
TV PULS,2024-01-01,17:15:00,"1,172","0,176","3,470"
TV PULS,2024-01-01,17:30:00,"1,254","0,188","3,782"
TV PULS,2024-01-01,17:45:00,"1,316","0,197","3,931"
TV PULS,2024-01-01,18:00:00,"0,847","0,127","2,496"
TV PULS,2024-01-01,18:15:00,"0,706","0,106","2,050"
TV PULS,2024-01-01,18:30:00,"1,141","0,171","3,309"
TV PULS,2024-01-01,18:45:00,"1,403","0,210","3,999"
TV PULS,2024-01-01,19:00:00,"0,855","0,128","2,269"
TV PULS,2024-01-01,19:15:00,"0,970","0,146","2,566"
TV PULS,2024-01-01,19:30:00,"1,312","0,197","3,380"
TV PULS,2024-01-01,19:45:00,"1,591","0,239","4,085"
TV PULS,2024-01-01,20:00:00,"2,048","0,307","5,228"
TV PULS,2024-01-01,20:15:00,"1,569","0,235","3,988"
TV PULS,2024-01-01,20:30:00,"2,449","0,367","6,379"
TV PULS,2024-01-01,20:45:00,"2,482","0,372","6,469"
TV PULS,2024-01-01,21:00:00,"1,980","0,297","5,257"
TV PULS,2024-01-01,21:15:00,"2,083","0,312","5,699"
TV PULS,2024-01-01,21:30:00,"2,176","0,326","6,086"
TV PULS,2024-01-01,21:45:00,"2,157","0,323","6,319"
TV PULS,2024-01-01,22:00:00,"2,042","0,306","6,166"
TV PULS,2024-01-01,22:15:00,"0,792","0,119","2,600"
TV PULS,2024-01-01,22:30:00,"0,779","0,117","2,828"
TV PULS,2024-01-01,22:45:00,"0,935","0,140","3,787"
TV PULS,2024-01-01,23:00:00,"0,864","0,130","3,826"
TV PULS,2024-01-01,23:15:00,"0,677","0,102","3,278"
TV PULS,2024-01-01,23:30:00,"0,670","0,100","3,482"
TV PULS,2024-01-01,23:45:00,"0,665","0,100","4,003"
TV PULS,2024-01-01,24:00:00,"0,632","0,095","4,249"
TV PULS,2024-01-01,24:15:00,"0,433","0,065","3,232"
TV PULS,2024-01-01,24:30:00,"0,311","0,047","2,612"
TV PULS,2024-01-01,24:45:00,"0,343","0,051","3,337"
TV PULS,2024-01-01,25:00:00,"0,337","0,051","3,745"
TV PULS,2024-01-01,25:15:00,"0,261","0,039","3,128"
TV PULS,2024-01-01,25:30:00,"0,272","0,041","3,795"
TV PULS,2024-01-01,25:45:00,"0,267","0,040","4,165"
TV PULS,2024-01-02,02:00:00,"0,240","0,036","3,985"
TV PULS,2024-01-02,02:15:00,"0,112","0,017","2,141"
TV PULS,2024-01-02,02:30:00,"0,094","0,014","2,017"
TV PULS,2024-01-02,02:45:00,"0,083","0,012","1,892"
TV PULS,2024-01-02,03:00:00,"0,073","0,011","1,772"
TV PULS,2024-01-02,03:15:00,"0,074","0,011","2,028"
TV PULS,2024-01-02,03:30:00,"0,082","0,012","2,539"
TV PULS,2024-01-02,03:45:00,"0,054","0,008","1,776"
TV PULS,2024-01-02,04:00:00,"0,054","0,008","2,052"
TV PULS,2024-01-02,04:15:00,"0,058","0,009","2,386"
TV PULS,2024-01-02,04:30:00,"0,067","0,010","2,789"
TV PULS,2024-01-02,04:45:00,"0,066","0,010","2,752"
TV PULS,2024-01-02,05:00:00,"0,035","0,005","1,360"
TV PULS,2024-01-02,05:15:00,"0,056","0,008","2,107"
TV PULS,2024-01-02,05:30:00,"0,086","0,013","3,153"
TV PULS,2024-01-02,05:45:00,"0,124","0,019","4,236"
TV PULS,2024-01-02,06:00:00,"0,120","0,018","3,456"
TV PULS,2024-01-02,06:15:00,"0,224","0,034","5,765"
TV PULS,2024-01-02,06:30:00,"0,211","0,032","4,961"
TV PULS,2024-01-02,06:45:00,"0,249","0,037","5,734"
TV PULS,2024-01-02,07:00:00,"0,312","0,047","5,855"
TV PULS,2024-01-02,07:15:00,"0,374","0,056","6,116"
TV PULS,2024-01-02,07:30:00,"0,423","0,063","6,002"
TV PULS,2024-01-02,07:45:00,"0,283","0,043","3,733"
TV PULS,2024-01-02,08:00:00,"0,235","0,035","2,791"
TV PULS,2024-01-02,08:15:00,"0,190","0,029","2,058"
TV PULS,2024-01-02,08:30:00,"0,261","0,039","2,499"
TV PULS,2024-01-02,08:45:00,"0,333","0,050","2,975"
TV PULS,2024-01-02,09:00:00,"0,283","0,042","2,399"
TV PULS,2024-01-02,09:15:00,"0,295","0,044","2,316"
TV PULS,2024-01-02,09:30:00,"0,262","0,039","2,017"
TV PULS,2024-01-02,09:45:00,"0,313","0,047","2,398"
TV PULS,2024-01-02,10:00:00,"0,246","0,037","1,818"
TV PULS,2024-01-02,10:15:00,"0,377","0,057","2,725"
TV PULS,2024-01-02,10:30:00,"0,605","0,091","4,295"
TV PULS,2024-01-02,10:45:00,"0,610","0,091","4,296"
TV PULS,2024-01-02,11:00:00,"0,623","0,093","4,261"
TV PULS,2024-01-02,11:15:00,"0,638","0,096","4,339"
TV PULS,2024-01-02,11:30:00,"0,694","0,104","4,680"
TV PULS,2024-01-02,11:45:00,"0,724","0,109","4,869"
TV PULS,2024-01-02,12:00:00,"0,329","0,049","2,278"
TV PULS,2024-01-02,12:15:00,"0,259","0,039","1,734"
TV PULS,2024-01-02,12:30:00,"0,184","0,028","1,182"
TV PULS,2024-01-02,12:45:00,"0,100","0,015","0,646"
TV PULS,2024-01-02,13:00:00,"0,107","0,016","0,697"
TV PULS,2024-01-02,13:15:00,"0,108","0,016","0,692"
TV PULS,2024-01-02,13:30:00,"0,133","0,020","0,824"
TV PULS,2024-01-02,13:45:00,"0,208","0,031","1,281"
TV PULS,2024-01-02,14:00:00,"0,259","0,039","1,593"
TV PULS,2024-01-02,14:15:00,"0,347","0,052","2,091"
TV PULS,2024-01-02,14:30:00,"0,310","0,046","1,792"
TV PULS,2024-01-02,14:45:00,"0,432","0,065","2,444"
TV PULS,2024-01-02,15:00:00,"0,335","0,050","1,808"
TV PULS,2024-01-02,15:15:00,"0,390","0,058","1,993"
TV PULS,2024-01-02,15:30:00,"0,452","0,068","2,265"
TV PULS,2024-01-02,15:45:00,"0,405","0,061","1,957"
TV PULS,2024-01-02,16:00:00,"0,274","0,041","1,266"
TV PULS,2024-01-02,16:15:00,"0,158","0,024","0,700"
TV PULS,2024-01-02,16:30:00,"0,280","0,042","1,176"
TV PULS,2024-01-02,16:45:00,"0,289","0,043","1,141"
TV PULS,2024-01-02,17:00:00,"0,190","0,029","0,722"
TV PULS,2024-01-02,17:15:00,"0,153","0,023","0,567"
TV PULS,2024-01-02,17:30:00,"0,250","0,038","0,901"
TV PULS,2024-01-02,17:45:00,"0,328","0,049","1,140"
TV PULS,2024-01-02,18:00:00,"0,518","0,078","1,759"
TV PULS,2024-01-02,18:15:00,"0,506","0,076","1,679"
TV PULS,2024-01-02,18:30:00,"0,538","0,081","1,735"
TV PULS,2024-01-02,18:45:00,"0,594","0,089","1,837"
TV PULS,2024-01-02,19:00:00,"0,586","0,088","1,705"
TV PULS,2024-01-02,19:15:00,"0,665","0,100","1,888"
TV PULS,2024-01-02,19:30:00,"0,884","0,133","2,582"
TV PULS,2024-01-02,19:45:00,"0,844","0,127","2,510"
TV PULS,2024-01-02,20:00:00,"1,186","0,178","3,483"
TV PULS,2024-01-02,20:15:00,"1,055","0,158","3,097"
TV PULS,2024-01-02,20:30:00,"1,302","0,195","3,792"
TV PULS,2024-01-02,20:45:00,"1,525","0,229","4,395"
TV PULS,2024-01-02,21:00:00,"1,550","0,233","4,525"
TV PULS,2024-01-02,21:15:00,"1,618","0,243","4,695"
TV PULS,2024-01-02,21:30:00,"1,122","0,168","3,273"
TV PULS,2024-01-02,21:45:00,"0,534","0,080","1,685"
TV PULS,2024-01-02,22:00:00,"0,440","0,066","1,465"
TV PULS,2024-01-02,22:15:00,"0,544","0,082","1,948"
TV PULS,2024-01-02,22:30:00,"0,572","0,086","2,162"
TV PULS,2024-01-02,22:45:00,"0,681","0,102","2,810"
TV PULS,2024-01-02,23:00:00,"0,549","0,082","2,516"
TV PULS,2024-01-02,23:15:00,"0,366","0,055","1,866"
TV PULS,2024-01-02,23:30:00,"0,309","0,046","1,730"
TV PULS,2024-01-02,23:45:00,"0,327","0,049","1,997"
TV PULS,2024-01-02,24:00:00,"0,240","0,036","1,670"
TV PULS,2024-01-02,24:15:00,"0,372","0,056","2,887"
TV PULS,2024-01-02,24:30:00,"0,369","0,055","3,352"
TV PULS,2024-01-02,24:45:00,"0,399","0,060","4,468"
TV PULS,2024-01-02,25:00:00,"0,394","0,059","5,139"
TV PULS,2024-01-02,25:15:00,"0,304","0,046","4,347"
TV PULS,2024-01-02,25:30:00,"0,330","0,050","5,124"
TV PULS,2024-01-02,25:45:00,"0,331","0,050","5,989"
TV PULS,2024-01-03,02:00:00,"0,238","0,036","4,798"
TV PULS,2024-01-03,02:15:00,"0,204","0,031","5,338"
TV PULS,2024-01-03,02:30:00,"0,186","0,028","5,918"
TV PULS,2024-01-03,02:45:00,"0,169","0,025","5,684"
TV PULS,2024-01-03,03:00:00,"0,179","0,027","6,579"
TV PULS,2024-01-03,03:15:00,"0,190","0,029","7,782"
TV PULS,2024-01-03,03:30:00,"0,188","0,028","8,267"
TV PULS,2024-01-03,03:45:00,"0,180","0,027","8,269"
TV PULS,2024-01-03,04:00:00,"0,168","0,025","9,389"
TV PULS,2024-01-03,04:15:00,"0,154","0,023","8,583"
TV PULS,2024-01-03,04:30:00,"0,107","0,016","5,483"
TV PULS,2024-01-03,04:45:00,"0,108","0,016","5,547"
TV PULS,2024-01-03,05:00:00,"0,082","0,012","4,070"
TV PULS,2024-01-03,05:15:00,"0,073","0,011","3,129"
TV PULS,2024-01-03,05:30:00,"0,131","0,020","4,912"
TV PULS,2024-01-03,05:45:00,"0,149","0,022","5,102"
TV PULS,2024-01-03,06:00:00,"0,082","0,012","2,381"
TV PULS,2024-01-03,06:15:00,"0,121","0,018","3,102"
TV PULS,2024-01-03,06:30:00,"0,189","0,028","4,344"
TV PULS,2024-01-03,06:45:00,"0,218","0,033","4,702"
TV PULS,2024-01-03,07:00:00,"0,307","0,046","5,795"
TV PULS,2024-01-03,07:15:00,"0,370","0,055","6,462"
TV PULS,2024-01-03,07:30:00,"0,413","0,062","6,401"
TV PULS,2024-01-03,07:45:00,"0,545","0,082","7,614"
TV PULS,2024-01-03,08:00:00,"0,438","0,066","5,554"
TV PULS,2024-01-03,08:15:00,"0,393","0,059","4,708"
TV PULS,2024-01-03,08:30:00,"0,413","0,062","4,546"
TV PULS,2024-01-03,08:45:00,"0,388","0,058","4,024"
TV PULS,2024-01-03,09:00:00,"0,372","0,056","3,670"
TV PULS,2024-01-03,09:15:00,"0,457","0,069","4,141"
TV PULS,2024-01-03,09:30:00,"0,448","0,067","3,958"
TV PULS,2024-01-03,09:45:00,"0,356","0,053","3,104"
TV PULS,2024-01-03,10:00:00,"0,275","0,041","2,336"
TV PULS,2024-01-03,10:15:00,"0,218","0,033","1,854"
TV PULS,2024-01-03,10:30:00,"0,219","0,033","1,817"
TV PULS,2024-01-03,10:45:00,"0,258","0,039","2,106"
TV PULS,2024-01-03,11:00:00,"0,463","0,069","3,701"
TV PULS,2024-01-03,11:15:00,"0,540","0,081","4,185"
TV PULS,2024-01-03,11:30:00,"0,509","0,076","3,890"
TV PULS,2024-01-03,11:45:00,"0,398","0,060","3,079"
TV PULS,2024-01-03,12:00:00,"0,164","0,025","1,277"
TV PULS,2024-01-03,12:15:00,"0,142","0,021","1,080"
TV PULS,2024-01-03,12:30:00,"0,126","0,019","0,937"
TV PULS,2024-01-03,12:45:00,"0,153","0,023","1,122"
TV PULS,2024-01-03,13:00:00,"0,145","0,022","1,049"
TV PULS,2024-01-03,13:15:00,"0,059","0,009","0,446"
TV PULS,2024-01-03,13:30:00,"0,045","0,007","0,324"
TV PULS,2024-01-03,13:45:00,"0,076","0,011","0,558"
TV PULS,2024-01-03,14:00:00,"0,071","0,011","0,503"
TV PULS,2024-01-03,14:15:00,"0,120","0,018","0,818"
TV PULS,2024-01-03,14:30:00,"0,420","0,063","2,733"
TV PULS,2024-01-03,14:45:00,"0,403","0,060","2,461"
TV PULS,2024-01-03,15:00:00,"0,450","0,067","2,661"
TV PULS,2024-01-03,15:15:00,"0,467","0,070","2,572"
TV PULS,2024-01-03,15:30:00,"0,457","0,068","2,399"
TV PULS,2024-01-03,15:45:00,"0,596","0,089","2,947"
TV PULS,2024-01-03,16:00:00,"0,358","0,054","1,765"
TV PULS,2024-01-03,16:15:00,"0,327","0,049","1,584"
TV PULS,2024-01-03,16:30:00,"0,343","0,051","1,608"
TV PULS,2024-01-03,16:45:00,"0,243","0,036","1,069"
TV PULS,2024-01-03,17:00:00,"0,277","0,041","1,127"
TV PULS,2024-01-03,17:15:00,"0,249","0,037","0,978"
TV PULS,2024-01-03,17:30:00,"0,163","0,025","0,631"
TV PULS,2024-01-03,17:45:00,"0,168","0,025","0,639"
TV PULS,2024-01-03,18:00:00,"0,267","0,040","0,957"
TV PULS,2024-01-03,18:15:00,"0,402","0,060","1,400"
TV PULS,2024-01-03,18:30:00,"0,515","0,077","1,763"
TV PULS,2024-01-03,18:45:00,"0,758","0,114","2,492"
TV PULS,2024-01-03,19:00:00,"0,669","0,100","2,057"
TV PULS,2024-01-03,19:15:00,"0,684","0,103","2,102"
TV PULS,2024-01-03,19:30:00,"0,759","0,114","2,303"
TV PULS,2024-01-03,19:45:00,"0,800","0,120","2,441"
TV PULS,2024-01-03,20:00:00,"1,018","0,153","3,010"
TV PULS,2024-01-03,20:15:00,"0,796","0,119","2,385"
TV PULS,2024-01-03,20:30:00,"1,176","0,176","3,510"
TV PULS,2024-01-03,20:45:00,"1,642","0,246","4,981"
TV PULS,2024-01-03,21:00:00,"1,572","0,236","4,913"
TV PULS,2024-01-03,21:15:00,"1,325","0,199","4,086"
TV PULS,2024-01-03,21:30:00,"1,296","0,194","4,067"
TV PULS,2024-01-03,21:45:00,"1,731","0,260","5,631"
TV PULS,2024-01-03,22:00:00,"1,428","0,214","4,805"
TV PULS,2024-01-03,22:15:00,"1,015","0,152","3,670"
TV PULS,2024-01-03,22:30:00,"1,491","0,224","5,828"
TV PULS,2024-01-03,22:45:00,"1,623","0,243","6,741"
TV PULS,2024-01-03,23:00:00,"1,245","0,187","5,818"
TV PULS,2024-01-03,23:15:00,"0,446","0,067","2,491"
TV PULS,2024-01-03,23:30:00,"0,373","0,056","2,382"
TV PULS,2024-01-03,23:45:00,"0,410","0,061","3,011"
TV PULS,2024-01-03,24:00:00,"0,391","0,059","3,283"
TV PULS,2024-01-03,24:15:00,"0,303","0,045","2,848"
TV PULS,2024-01-03,24:30:00,"0,276","0,041","3,055"
TV PULS,2024-01-03,24:45:00,"0,397","0,060","5,021"
TV PULS,2024-01-03,25:00:00,"0,338","0,051","4,883"
TV PULS,2024-01-03,25:15:00,"0,233","0,035","3,728"
TV PULS,2024-01-03,25:30:00,"0,163","0,024","2,757"
TV PULS,2024-01-03,25:45:00,"0,133","0,020","2,533"
TV PULS,2024-01-04,02:00:00,"0,099","0,015","2,048"
TV PULS,2024-01-04,02:15:00,"0,084","0,013","2,043"
TV PULS,2024-01-04,02:30:00,"0,114","0,017","2,990"
TV PULS,2024-01-04,02:45:00,"0,110","0,017","3,139"
TV PULS,2024-01-04,03:00:00,"0,088","0,013","2,732"
TV PULS,2024-01-04,03:15:00,"0,096","0,014","3,059"
TV PULS,2024-01-04,03:30:00,"0,119","0,018","3,993"
TV PULS,2024-01-04,03:45:00,"0,127","0,019","5,271"
TV PULS,2024-01-04,04:00:00,"0,086","0,013","3,804"
TV PULS,2024-01-04,04:15:00,"0,063","0,009","3,203"
TV PULS,2024-01-04,04:30:00,"0,064","0,010","3,292"
TV PULS,2024-01-04,04:45:00,"0,022","0,003","1,056"
TV PULS,2024-01-04,05:00:00,"0,025","0,004","1,136"
TV PULS,2024-01-04,05:15:00,"0,030","0,005","1,373"
TV PULS,2024-01-04,05:30:00,"0,030","0,005","1,205"
TV PULS,2024-01-04,05:45:00,"0,026","0,004","0,908"
TV PULS,2024-01-04,06:00:00,"0,029","0,004","0,837"
TV PULS,2024-01-04,06:15:00,"0,071","0,011","1,659"
TV PULS,2024-01-04,06:30:00,"0,056","0,008","1,137"
TV PULS,2024-01-04,06:45:00,"0,149","0,022","2,794"
TV PULS,2024-01-04,07:00:00,"0,199","0,030","3,403"
TV PULS,2024-01-04,07:15:00,"0,243","0,036","3,881"
TV PULS,2024-01-04,07:30:00,"0,236","0,035","3,613"
TV PULS,2024-01-04,07:45:00,"0,302","0,045","4,270"
TV PULS,2024-01-04,08:00:00,"0,291","0,044","3,630"
TV PULS,2024-01-04,08:15:00,"0,341","0,051","3,939"
TV PULS,2024-01-04,08:30:00,"0,545","0,082","5,620"
TV PULS,2024-01-04,08:45:00,"0,515","0,077","4,962"
TV PULS,2024-01-04,09:00:00,"0,438","0,066","4,132"
TV PULS,2024-01-04,09:15:00,"0,365","0,055","3,230"
TV PULS,2024-01-04,09:30:00,"0,351","0,053","3,090"
TV PULS,2024-01-04,09:45:00,"0,404","0,061","3,466"
TV PULS,2024-01-04,10:00:00,"0,284","0,043","2,346"
TV PULS,2024-01-04,10:15:00,"0,377","0,056","3,135"
TV PULS,2024-01-04,10:30:00,"0,408","0,061","3,270"
TV PULS,2024-01-04,10:45:00,"0,330","0,049","2,592"
TV PULS,2024-01-04,11:00:00,"0,347","0,052","2,672"
TV PULS,2024-01-04,11:15:00,"0,469","0,070","3,639"
TV PULS,2024-01-04,11:30:00,"0,439","0,066","3,354"
TV PULS,2024-01-04,11:45:00,"0,457","0,068","3,343"
TV PULS,2024-01-04,12:00:00,"0,253","0,038","1,879"
TV PULS,2024-01-04,12:15:00,"0,116","0,017","0,861"
TV PULS,2024-01-04,12:30:00,"0,067","0,010","0,492"
TV PULS,2024-01-04,12:45:00,"0,096","0,014","0,728"
TV PULS,2024-01-04,13:00:00,"0,093","0,014","0,718"
TV PULS,2024-01-04,13:15:00,"0,110","0,016","0,863"
TV PULS,2024-01-04,13:30:00,"0,159","0,024","1,205"
TV PULS,2024-01-04,13:45:00,"0,284","0,043","2,133"
TV PULS,2024-01-04,14:00:00,"0,232","0,035","1,661"
TV PULS,2024-01-04,14:15:00,"0,226","0,034","1,575"
TV PULS,2024-01-04,14:30:00,"0,268","0,040","1,813"
TV PULS,2024-01-04,14:45:00,"0,238","0,036","1,559"
TV PULS,2024-01-04,15:00:00,"0,351","0,053","2,146"
TV PULS,2024-01-04,15:15:00,"0,450","0,068","2,596"
TV PULS,2024-01-04,15:30:00,"0,634","0,095","3,515"
TV PULS,2024-01-04,15:45:00,"0,601","0,090","3,165"
TV PULS,2024-01-04,16:00:00,"0,159","0,024","0,777"
TV PULS,2024-01-04,16:15:00,"0,169","0,025","0,785"
TV PULS,2024-01-04,16:30:00,"0,142","0,021","0,639"
TV PULS,2024-01-04,16:45:00,"0,140","0,021","0,605"
TV PULS,2024-01-04,17:00:00,"0,131","0,020","0,527"
TV PULS,2024-01-04,17:15:00,"0,146","0,022","0,570"
TV PULS,2024-01-04,17:30:00,"0,212","0,032","0,807"
TV PULS,2024-01-04,17:45:00,"0,282","0,042","1,059"
TV PULS,2024-01-04,18:00:00,"0,418","0,063","1,516"
TV PULS,2024-01-04,18:15:00,"0,445","0,067","1,570"
TV PULS,2024-01-04,18:30:00,"0,407","0,061","1,405"
TV PULS,2024-01-04,18:45:00,"0,473","0,071","1,590"
TV PULS,2024-01-04,19:00:00,"0,339","0,051","1,054"
TV PULS,2024-01-04,19:15:00,"0,505","0,076","1,522"
TV PULS,2024-01-04,19:30:00,"0,690","0,103","2,081"
TV PULS,2024-01-04,19:45:00,"0,746","0,112","2,234"
TV PULS,2024-01-04,20:00:00,"1,041","0,156","3,127"
TV PULS,2024-01-04,20:15:00,"1,079","0,162","3,207"
TV PULS,2024-01-04,20:30:00,"1,297","0,195","3,919"
TV PULS,2024-01-04,20:45:00,"1,581","0,237","4,872"
TV PULS,2024-01-04,21:00:00,"1,596","0,239","4,971"
TV PULS,2024-01-04,21:15:00,"1,707","0,256","5,274"
TV PULS,2024-01-04,21:30:00,"0,608","0,091","1,906"
TV PULS,2024-01-04,21:45:00,"0,735","0,110","2,359"
TV PULS,2024-01-04,22:00:00,"0,780","0,117","2,590"
TV PULS,2024-01-04,22:15:00,"0,889","0,133","3,169"
TV PULS,2024-01-04,22:30:00,"1,009","0,151","3,892"
TV PULS,2024-01-04,22:45:00,"1,007","0,151","4,279"
TV PULS,2024-01-04,23:00:00,"0,922","0,138","4,378"
TV PULS,2024-01-04,23:15:00,"0,612","0,092","3,288"
TV PULS,2024-01-04,23:30:00,"0,486","0,073","2,953"
TV PULS,2024-01-04,23:45:00,"0,483","0,072","3,326"
TV PULS,2024-01-04,24:00:00,"0,368","0,055","2,872"
TV PULS,2024-01-04,24:15:00,"0,262","0,039","2,325"
TV PULS,2024-01-04,24:30:00,"0,279","0,042","2,889"
TV PULS,2024-01-04,24:45:00,"0,347","0,052","4,089"
TV PULS,2024-01-04,25:00:00,"0,280","0,042","3,696"
TV PULS,2024-01-04,25:15:00,"0,247","0,037","3,903"
TV PULS,2024-01-04,25:30:00,"0,197","0,029","3,635"
TV PULS,2024-01-04,25:45:00,"0,155","0,023","3,134"
TV PULS,2024-01-05,02:00:00,"0,175","0,026","3,637"
TV PULS,2024-01-05,02:15:00,"0,153","0,023","3,511"
TV PULS,2024-01-05,02:30:00,"0,081","0,012","2,036"
TV PULS,2024-01-05,02:45:00,"0,081","0,012","2,283"
TV PULS,2024-01-05,03:00:00,"0,064","0,010","2,068"
TV PULS,2024-01-05,03:15:00,"0,028","0,004","0,903"
TV PULS,2024-01-05,03:30:00,"0,005","0,001","0,167"
TV PULS,2024-01-05,03:45:00,"0,059","0,009","2,164"
TV PULS,2024-01-05,04:00:00,"0,058","0,009","2,441"
TV PULS,2024-01-05,04:15:00,"0,056","0,008","2,426"
TV PULS,2024-01-05,04:30:00,"0,069","0,010","3,134"
TV PULS,2024-01-05,04:45:00,"0,079","0,012","3,339"
TV PULS,2024-01-05,05:00:00,"0,059","0,009","2,406"
TV PULS,2024-01-05,05:15:00,"0,055","0,008","2,104"
TV PULS,2024-01-05,05:30:00,"0,093","0,014","3,208"
TV PULS,2024-01-05,05:45:00,"0,112","0,017","3,344"
TV PULS,2024-01-05,06:00:00,"0,212","0,032","6,029"
TV PULS,2024-01-05,06:15:00,"0,233","0,035","5,739"
TV PULS,2024-01-05,06:30:00,"0,191","0,029","4,080"
TV PULS,2024-01-05,06:45:00,"0,236","0,035","4,708"
TV PULS,2024-01-05,07:00:00,"0,283","0,042","4,753"
TV PULS,2024-01-05,07:15:00,"0,339","0,051","5,080"
TV PULS,2024-01-05,07:30:00,"0,352","0,053","5,156"
TV PULS,2024-01-05,07:45:00,"0,376","0,056","5,155"
TV PULS,2024-01-05,08:00:00,"0,301","0,045","4,115"
TV PULS,2024-01-05,08:15:00,"0,305","0,046","3,685"
TV PULS,2024-01-05,08:30:00,"0,311","0,047","3,531"
TV PULS,2024-01-05,08:45:00,"0,357","0,054","3,890"
TV PULS,2024-01-05,09:00:00,"0,320","0,048","3,184"
TV PULS,2024-01-05,09:15:00,"0,253","0,038","2,319"
TV PULS,2024-01-05,09:30:00,"0,275","0,041","2,439"
TV PULS,2024-01-05,09:45:00,"0,292","0,044","2,552"
TV PULS,2024-01-05,10:00:00,"0,337","0,051","2,911"
